               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014038,           0.0043409,           0.0027836,             0.99431,             0.99763,             0.99356,             0.92746,           0.0077663,           0.0024763,          0.00085468,            0.008878,            0.008878,            0.008878
                  36,             0.01388,           0.0042426,           0.0025314,             0.99359,             0.99707,             0.99364,             0.93044,           0.0076272,           0.0024592,          0.00086362,            0.008845,            0.008845,            0.008845
                  37,            0.013793,           0.0042059,           0.0022753,             0.99384,             0.99737,             0.99377,             0.92817,           0.0076403,           0.0024601,          0.00079982,            0.008812,            0.008812,            0.008812
                  38,            0.013766,           0.0042071,           0.0024532,             0.99384,             0.99826,             0.99378,             0.93263,           0.0075098,           0.0024321,           0.0008369,            0.008779,            0.008779,            0.008779
                  39,            0.013722,           0.0043013,           0.0025217,             0.99396,             0.99918,             0.99361,             0.93221,           0.0074856,           0.0023958,          0.00077331,            0.008746,            0.008746,            0.008746
                  40,            0.013606,           0.0042072,           0.0027051,             0.99472,             0.99809,             0.99365,             0.93421,           0.0074413,           0.0024097,          0.00076778,            0.008713,            0.008713,            0.008713
                  41,            0.013508,           0.0041454,           0.0022171,             0.99524,             0.99864,             0.99385,             0.93567,           0.0072407,           0.0023368,          0.00074155,             0.00868,             0.00868,             0.00868
                  42,            0.013529,           0.0041684,           0.0023003,             0.99515,             0.99858,             0.99386,             0.93579,           0.0072518,            0.002363,          0.00074497,            0.008647,            0.008647,            0.008647
                  43,            0.013314,           0.0041031,           0.0020918,             0.99562,             0.99908,             0.99409,             0.93755,           0.0071123,           0.0023099,           0.0006979,            0.008614,            0.008614,            0.008614
                  44,            0.013277,           0.0041284,           0.0019823,             0.99528,             0.99892,             0.99392,             0.93812,           0.0071395,           0.0023214,          0.00071372,            0.008581,            0.008581,            0.008581
                  45,            0.013107,           0.0040674,           0.0021652,             0.99486,             0.99903,             0.99381,             0.93858,           0.0070032,           0.0023019,          0.00070197,            0.008548,            0.008548,            0.008548
                  46,            0.013133,           0.0040771,           0.0022819,             0.99503,             0.99904,             0.99397,             0.93742,           0.0070468,           0.0022974,          0.00068633,            0.008515,            0.008515,            0.008515
                  47,             0.01312,           0.0040394,           0.0019297,             0.99575,              0.9988,             0.99399,             0.93982,            0.006952,           0.0022676,          0.00067545,            0.008482,            0.008482,            0.008482
                  48,            0.013108,           0.0040875,           0.0022221,             0.99498,             0.99906,             0.99394,             0.94125,           0.0069252,           0.0022708,          0.00067467,            0.008449,            0.008449,            0.008449
                  49,            0.013177,           0.0040581,           0.0021055,             0.99562,              0.9993,             0.99389,             0.94213,           0.0068549,           0.0022599,          0.00066167,            0.008416,            0.008416,            0.008416
                  50,            0.012978,           0.0040223,           0.0020648,              0.9957,             0.99878,             0.99384,             0.94313,           0.0067993,           0.0022498,          0.00064819,            0.008383,            0.008383,            0.008383
                  51,            0.013041,           0.0040938,           0.0024361,             0.99536,             0.99939,             0.99404,             0.94122,           0.0067974,             0.00224,          0.00064274,             0.00835,             0.00835,             0.00835
                  52,            0.012924,           0.0040269,            0.002096,             0.99585,             0.99905,             0.99375,             0.94184,           0.0067739,           0.0022303,          0.00061981,            0.008317,            0.008317,            0.008317
                  53,            0.012817,           0.0039843,           0.0020504,             0.99521,             0.99946,             0.99375,             0.94235,           0.0067333,           0.0022264,          0.00060785,            0.008284,            0.008284,            0.008284
                  54,            0.012697,           0.0040322,           0.0020647,             0.99511,             0.99925,             0.99382,             0.94407,           0.0066605,           0.0021994,          0.00060242,            0.008251,            0.008251,            0.008251
                  55,            0.012775,           0.0040588,           0.0019563,             0.99568,             0.99924,             0.99382,             0.94339,           0.0066488,           0.0022095,          0.00059721,            0.008218,            0.008218,            0.008218
                  56,            0.012765,            0.004054,           0.0020696,             0.99534,             0.99914,              0.9939,             0.94525,           0.0065894,           0.0021959,          0.00060046,            0.008185,            0.008185,            0.008185
                  57,            0.012473,           0.0039659,            0.001769,             0.99551,             0.99935,             0.99396,             0.94523,           0.0065561,           0.0021898,          0.00058819,            0.008152,            0.008152,            0.008152
                  58,            0.012472,            0.003985,            0.001965,             0.99571,             0.99954,             0.99392,             0.94587,           0.0065112,           0.0021612,          0.00058157,            0.008119,            0.008119,            0.008119
                  59,            0.012529,           0.0039575,           0.0019289,             0.99597,             0.99945,             0.99401,             0.94658,           0.0064755,           0.0021581,          0.00058086,            0.008086,            0.008086,            0.008086
                  60,            0.012545,           0.0039193,           0.0019775,             0.99584,             0.99947,             0.99401,             0.94637,           0.0064697,           0.0021589,           0.0005774,            0.008053,            0.008053,            0.008053
                  61,             0.01248,            0.004004,           0.0020672,             0.99593,             0.99945,             0.99395,              0.9469,           0.0064187,           0.0021479,          0.00056861,             0.00802,             0.00802,             0.00802
                  62,            0.012601,           0.0039182,           0.0018392,             0.99572,             0.99932,             0.99389,             0.94756,           0.0063791,           0.0021447,          0.00056369,            0.007987,            0.007987,            0.007987
                  63,            0.012342,           0.0038272,           0.0017914,             0.99568,             0.99945,             0.99391,             0.94734,           0.0063674,           0.0021329,          0.00055616,            0.007954,            0.007954,            0.007954
                  64,            0.012414,           0.0039206,           0.0021447,             0.99536,             0.99935,             0.99383,              0.9475,           0.0063673,            0.002136,          0.00055272,            0.007921,            0.007921,            0.007921
                  65,            0.012234,           0.0039436,           0.0021364,              0.9957,             0.99962,             0.99392,             0.94822,            0.006339,           0.0021176,          0.00053056,            0.007888,            0.007888,            0.007888
                  66,            0.012315,           0.0038832,            0.002015,             0.99588,             0.99952,             0.99391,             0.94866,           0.0063233,           0.0021155,          0.00052796,            0.007855,            0.007855,            0.007855
                  67,            0.012266,           0.0038807,           0.0019324,              0.9955,             0.99955,             0.99385,             0.94904,           0.0063023,            0.002113,          0.00052126,            0.007822,            0.007822,            0.007822
                  68,            0.012217,           0.0039048,           0.0018827,             0.99586,              0.9996,             0.99398,             0.94908,           0.0062846,           0.0021017,          0.00051895,            0.007789,            0.007789,            0.007789
                  69,             0.01212,           0.0038338,           0.0016973,              0.9961,             0.99969,             0.99398,             0.94984,           0.0062602,           0.0020983,          0.00051675,            0.007756,            0.007756,            0.007756
                  70,            0.012054,           0.0038511,           0.0019286,             0.99614,             0.99956,             0.99401,             0.94973,           0.0062296,            0.002084,          0.00051194,            0.007723,            0.007723,            0.007723
                  71,            0.012122,           0.0038719,           0.0019604,             0.99595,             0.99962,             0.99398,             0.94995,           0.0062052,           0.0020857,           0.0005009,             0.00769,             0.00769,             0.00769
                  72,            0.012047,           0.0037834,           0.0017972,             0.99559,             0.99955,             0.99397,             0.95052,           0.0061863,           0.0020846,          0.00050178,            0.007657,            0.007657,            0.007657
                  73,            0.012076,            0.003826,           0.0017939,             0.99604,             0.99942,             0.99396,             0.95027,           0.0061665,           0.0020831,          0.00050272,            0.007624,            0.007624,            0.007624
                  74,            0.011864,           0.0038307,           0.0018292,             0.99583,             0.99957,             0.99401,             0.95114,           0.0061463,            0.002079,           0.0004886,            0.007591,            0.007591,            0.007591
                  75,            0.012052,           0.0038442,            0.001792,             0.99585,             0.99961,               0.994,             0.95168,           0.0061272,           0.0020754,          0.00048013,            0.007558,            0.007558,            0.007558
                  76,            0.011892,            0.003783,           0.0016766,             0.99597,             0.99959,             0.99403,             0.95187,           0.0061033,            0.002066,           0.0004785,            0.007525,            0.007525,            0.007525
                  77,            0.011986,           0.0037821,            0.001564,             0.99596,              0.9996,             0.99401,              0.9519,           0.0060816,           0.0020576,            0.000476,            0.007492,            0.007492,            0.007492
                  78,            0.011832,           0.0037298,           0.0016618,               0.996,             0.99963,             0.99403,             0.95203,           0.0060692,           0.0020484,          0.00047587,            0.007459,            0.007459,            0.007459
                  79,            0.011868,           0.0037919,           0.0017631,             0.99625,             0.99966,             0.99401,             0.95244,           0.0060426,           0.0020402,          0.00047149,            0.007426,            0.007426,            0.007426
                  80,            0.011839,           0.0038602,            0.001934,             0.99597,             0.99958,             0.99402,              0.9531,            0.006027,           0.0020389,          0.00046569,            0.007393,            0.007393,            0.007393
                  81,            0.011656,           0.0037882,           0.0017831,             0.99611,             0.99968,             0.99402,             0.95294,             0.00601,           0.0020339,          0.00046105,             0.00736,             0.00736,             0.00736
                  82,            0.011765,           0.0037591,           0.0018132,             0.99596,             0.99955,             0.99405,             0.95338,            0.005996,           0.0020285,          0.00045773,            0.007327,            0.007327,            0.007327
                  83,              0.0117,           0.0037198,           0.0017057,             0.99599,              0.9996,             0.99407,             0.95371,           0.0059801,           0.0020261,          0.00045373,            0.007294,            0.007294,            0.007294
                  84,            0.011677,           0.0037883,           0.0017937,             0.99589,             0.99963,             0.99409,             0.95378,           0.0059765,           0.0020259,           0.0004498,            0.007261,            0.007261,            0.007261
                  85,            0.011759,            0.003738,           0.0017879,             0.99591,             0.99964,              0.9941,             0.95352,           0.0059654,           0.0020227,          0.00044849,            0.007228,            0.007228,            0.007228
                  86,            0.011805,           0.0037769,           0.0017336,             0.99595,             0.99963,             0.99409,             0.95324,             0.00596,           0.0020184,          0.00044495,            0.007195,            0.007195,            0.007195
                  87,            0.011632,           0.0037362,           0.0015554,             0.99572,             0.99962,             0.99408,             0.95301,            0.005949,           0.0020143,          0.00044074,            0.007162,            0.007162,            0.007162
                  88,            0.011513,           0.0036699,           0.0015678,             0.99575,             0.99961,             0.99408,             0.95334,           0.0059412,           0.0020108,          0.00043681,            0.007129,            0.007129,            0.007129
                  89,            0.011619,            0.003713,           0.0018385,             0.99579,             0.99963,             0.99409,              0.9537,           0.0059302,           0.0020081,          0.00043546,            0.007096,            0.007096,            0.007096
                  90,            0.011636,           0.0038165,           0.0018793,             0.99575,             0.99968,             0.99407,             0.95376,           0.0059212,           0.0020075,          0.00043206,            0.007063,            0.007063,            0.007063
                  91,            0.011521,           0.0037132,           0.0016167,             0.99583,             0.99966,              0.9941,             0.95419,           0.0059126,           0.0020063,          0.00042984,             0.00703,             0.00703,             0.00703
                  92,            0.011433,           0.0036726,           0.0015102,             0.99591,             0.99963,             0.99411,             0.95391,           0.0059034,           0.0020037,          0.00042634,            0.006997,            0.006997,            0.006997
                  93,            0.011227,           0.0035864,             0.00142,             0.99599,             0.99963,             0.99412,             0.95423,           0.0058932,           0.0019991,          0.00042437,            0.006964,            0.006964,            0.006964
